Period,Application_ID,Cost,Source,Source_Item
2019-06,SISLAB,28.0,Azure,Azure Database for MySQL Basic - Compute Gen5 - vCore - EU West
2019-04,SISLAB,0.0,Azure,Bandwidth - Data Transfer Out - Zone 2
2019-07,SISLAB,402.0,Azure,Azure App Service Standard Plan - S1 - Dev/Test
2019-02,GEORE1,0.0,Azure,Standard SSD Managed Disks - E20 - Disks - EU West
2019-08,SISLAB,1.0,Azure,Log Analytics - Data Analyzed
2019-03,SISLAB,17.0,Swisscom,Enterprise Service Cloud Platinum Standard Memory units
2019-04,DSC,1.0,Swisscom,Enterprise Service Cloud Platinum Basic ECO Storage units
2019-08,INSIGHTSRE,15.0,Swisscom,Enterprise Service Cloud Platinum Basic ECO Storage units
2019-05,DATAROBOT,1.0,Swisscom,Enterprise Service Cloud Platinum Basic ECO Storage units
2019-09,DSC,1489.0,Swisscom,Enterprise Service Cloud Platinum Basic Memory units
2019-01,DSC,4137.0,Swisscom,Enterprise Service Cloud Platinum Basic Memory units
2019-01,DSC,3510.0,Swisscom,Enterprise Service Cloud Platinum Basic Fast Storage units
2019-02,PYTHIA,11.0,Swisscom,Enterprise Service Cloud Platinum Standard Snapshot units
2019-04,TMA,21.0,Swisscom,Application Cloud Dynamic Storage (S3) units
2019-01,INSIGHTSRE,2124.0,Swisscom,Enterprise Service Cloud Platinum Standard vCPU units
2019-03,PYTHIA,710.0,Group Technology Management,Tableau Projects 2019+
2019-06,OCR,170.0,Group Technology Management,Developer Workplace: BAMBOO
2019-02,TMA,170.0,Group Technology Management,Developer Workplace: JIRA/SCMIMT
2019-03,SAMS,170.0,Group Technology Management,Developer Workplace: GIT
2019-03,DATAROBOT,1681.0,Group Technology Management,Swisscom Oracle DBaaS - CHF spent excl. VAT
2019-08,INSIGHTSRE,21912.0,Utilization,IBM Slovakia
2018-06,PYTHIA,1955.0,Utilization,Sankarshan Mridha
2018-11,PYTHIA,4177.0,Utilization,Nuno Mesquita
2019-01,SISLAB,0.0,Azure,General Block Blob - List and Create Container Operations
2019-02,SISLAB,6.0,Azure,Virtual Machines Dv2/DSv2 promo Series - D3 v2/DS3 v2 - EU West - Expired
2019-06,SISLAB,0.0,Azure,Bandwidth - Data Transfer In - Zone 1
2019-06,PYTHIA,1.0,Azure,Container Registry - Basic - Registry Units
2019-06,GEORE1,1.0,Azure,Virtual Machines Dv3/DSv3 Series - D4 v3/D4s v3 - EU West
2019-06,SISLAB,6.0,Azure,Backup - GRS Data Stored
2019-06,SISLAB,2.0,Azure,Standard HDD Managed Disks - Disk Operations
2019-06,TMA,0.0,Azure,Log Analytics - Free - Data Analyzed
2019-04,SISLAB,0.0,Azure,Storage - Bandwidth - Geo-Replication Data Transfer - EU West
2019-07,SISLAB,0.0,Azure,Tables - RA-GRS Data Stored
2019-09,TMA,0.0,Azure,Files - LRS Data Stored
2019-05,SISLAB,1.0,Azure,Standard HDD Managed Disks - Disk Operations
2019-09,SISLAB,0.0,Azure,General Block Blob - RA-GRS Data Stored
2019-05,SISLAB,3.0,Azure,Standard HDD Managed Disks - S4 - Disks - US South Central
2019-06,SISLAB,0.0,Azure,Tiered Block Blob - Hot GRS - Data Stored - EU West
2019-08,SISLAB,14.0,Azure,Virtual Machines Dv2/DSv2 promo Series - D3 v2/DS3 v2 - EU West - Expired
2019-02,GEORE1,0.0,Azure,Standard SSD Managed Disks - Disk Operations
2019-01,DSW,17625.0,Utilization,IBM Slovakia
2017-08,DNA,20615.0,Utilization,IBM
2017-06,DSW,3910.0,Utilization,Vimal Kumar
2019-06,LHTI,170.0,Group Technology Management,Developer Workplace: BAMBOO
2019-04,WATSONEXP,170.0,Group Technology Management,Developer Workplace: DCSCM
2019-01,OCR,170.0,Group Technology Management,Developer Workplace: DCSCM
2019-06,INSIGHTSRE,170.0,Group Technology Management,Developer Workplace: JIRA/SCMIMT
2019-09,TMA,170.0,Group Technology Management,Developer Workplace: VSTS
2019-08,DOCPROXY,187.0,Group Technology Management,Swisscom Application Cloud Memory
2019-08,TMA,59.0,Group Technology Management,Transactional Content Management Storage
2019-04,TMA,917.0,Group Technology Management,PowerCenter Applications
2019-03,DOCSEARCH,550.0,Group Technology Management,PowerCenter Applications
2019-01,SISLAB,12182.0,Swisscom,Enterprise Service Cloud Platinum Basic Memory units
2019-07,DSC,67.0,Swisscom,Enterprise Service Cloud Platinum Basic Snapshot units
2019-09,TMA,3457.0,Swisscom,Application Cloud Memory units
2019-04,OCR,1051.0,Swisscom,Application Cloud Memory units
2019-06,TMA,101.0,Swisscom,Enterprise Service Cloud Platinum Basic vCPU units
